Категорија,Brand,Име на производ,АКЦИЈА,Цена-ден,Карактеристики,Гар(м),ДДВ,лагер,KatBroj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,Lenovo,"Notebook Lenovo IdeaPad 3 15ALC6 Arctic Grey - R3 5300U, 8GB, 256GB NVMe, 15,6"", DOS;
AMD Ryzen 3 5300U (4C / 8T, 2.6 / 3.8GHz, 2MB L2 / 4MB L3)/ 4GB Soldered DDR4 + 4GB SO-DIMM DDR4/ (Up to 2 drives) 256GB SSD M.2 2242 PCIe NVMe/ 15.6"" FHD (1920x1080) IP",,"22,441 ден.","IdeaPad 3 15ALC6 Arctic Grey - R3 5300U, 8GB, 256GB NVMe, 15,6"", DOS;
AMD Ryzen 3 5300U (4C / 8T, 2.6 / 3.8GHz, 2MB L2 / 4MB L3)/ 4GB Soldered DDR4 + 4GB SO-DIMM DDR4/ (Up to 2 drives) 256GB SSD M.2 2242 PCIe NVMe/ 15.6"" FHD (1920x1080) IPS 300nits AG, 45% NTSC + 720p with Privacy Shutter/ Integrated Graphics/ 11ac, 2x2 + BT5.0/ Firmware TPM 2.0/ Stereo speakers, 1.5W x2, Dolby Audio/ 38Wh battery/ 1,65kg/ 24m. Warranty/ DOS",24,5%,√,26502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,Acer,"Notebook Acer Aspire 3 NX.HVTEX.00J, 15,6 FHD, AMD Ryzen 3 3250U, 8GB RAM, 256GB PCIe NVMe SSD, AMD Radeon Graphics",,"22,798 ден.","Laptop ACER R3-3250U15.6""/AMD/8GB/256GB/2core",12,5%,√,27088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,HP,"Laptop HP i3-1115G4 Black15.6""/Intel/dual/4GB/512GB",,"23,216 ден.","Laptop HP i3-1115G4 Black15.6""/Intel/dual/4GB/256",12,5%,√,27173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,Acer,"Notebook Acer Aspire 3, NX.HS5EX.00N, 15.6"" FHD, Intel Core i3 1005G1 up to 3.4GHz, 12GB DDR4, 512GB NVMe SSD, Intel UHD Graphics, no OS NX.HS5EX.00N",,"23,376 ден.",,,5%,×,28452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,HP,"Notebook HP 255 G8 15.6"" 1920x1080, AMD Ryzen 3 5300U 2.6GHz, 8Gb RAM, 256Gb SSD, DOS 3V5K4EA",,"23,376 ден.",,12,5%,×,27087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,HP,"Notebook HP 255 G8, AMD Ryzen 3 3250U (4M Cache, up to 3.5GHz), 15.6"" FHD(1920x1080) AG, 8GB (1x8GB) DDR4 2400, 256GB PCIe NVMe SSD, AMD Radeon Graphics, No-DVD, Webcam, BT, Wireless, 3-cell, FreeDOS, 1Y 27K51EA",,"23,604 ден.",,12,5%,×,26069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,HP,Notebook HP 250 G9 i3-1215U;8GB; 256GB NVMe; 6F1Z7EA,,"23,604 ден.",HP 250 G9 - i3-1215u / 8GB / 256 GB,12,5%,√,28128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,HP,"Notebook HP 15,6""FHD; Ryzen3; 8GB; 256GB NVMe 48M42EA silver 15s-eq2010nia","23,000 ден.","24,000 ден.","AMD Ryzen™ 3 5300U (up to 3.8 GHz max boost clock, 4 MB L3 cache, 4 cores, 8 threads); 8 GB DDR4-3200 MHz RAM (1 x 8 GB); AMD Radeon™ Graphics; Integrated; Optical drive not included; 39.6 cm (15.6"") diagonal, FHD (1920 x 1080), micro-edge, anti-glare, 250 nits, 45% NTSC; Realtek RTL8821CE-M 802.11a/b/g/n/ac (1x1) Wi-Fi® and Bluetooth® 4.2 combo; 1 multi-format SD media card reader; 1 SuperSpeed USB Type-C® 5Gbps signaling rate; 2 SuperSpeed USB Type-A 5Gbps signaling rate; 1 HDMI 1.4b; 1 AC smart pin; 1 headphone/microphone combo; 35.85 x 24.2 x 1.79 cm; 45 W Smart AC power adapter; 3-cell, 41 Wh Li-ion; Up to 9 hours and 30 minutes; Up to 9 hours; Dual speakers; FreeDOS",12,5%,×,27666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,Acer,"Notebook Acer Extensa (EX215-22-R82B), Black, 15.6"" FHD (1920 x 1080) resolution, AMD Ryzen™ 3 3250U, 8 GB, 256GB NVMe SSD, 3xUSB, Camera, HDMI, Ethernet, BT, Linux NX.EG9EX.00C",,"24,053 ден.","NOTEBOOK ACER Extensa (EX215-22-R82B), Black, 15.6"" FHD (1920 x 1080) resolution, AMD Ryzen™ 3 3250U, 8 GB, 256GB NVMe SSD, 3xUSB, Camera, HDMI, Ethernet, BT, Linux",12,5%,×,26661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,Acer,"Acer Laptop Aspire 3 A315-23 - NX.HVTEX.01Q 15,6"" FHD/Ryzen 3 3250U/12 GB/256 GB SSD",,"24,249 ден.",,12,5%,√,28554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,HP,Notebook HP 250 G7 Intel i3-1005G1 4GB 256GB SSD FullHD (197P1EA),,"24,569 ден.",,12,5%,×,26224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,Lenovo,"Notebook Lenovo IdeaPad 1 15AMN7, 15,6"" FHD, Ryzen™ 3 7320U, 8GB, S256GB NVME, AMD Radeon™ 610M, DOS, GRY, 2y 82VG0062RM",,"24,569 ден.","IdeaPad 1 15AMN7, 15,6"" FHD, Ryzen™ 3 7320U, 8GB, S256GB NVME, AMD Radeon™ 610M, DOS, GRY, 2y",24,5%,√,28761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,Lenovo,"Notebook/Tablet LENOVO IP Duet 3 10IGL5, detachable 10.3"" WUXGA (1920x1200), glossy, LED backlight, IPS, 340 nits, Celeron N4020, 4G, 64G  2400MHz DDR4 soldered to systemboard, Windows 10 PRO, 2x USB 3.2 Type-C Gen 1(with the function of DisplayPort 1.2, ",,"24,698 ден.","Notebook/Tablet LENOVO IP Duet 3 10IGL5, detachable TOUCH 10.3"" WUXGA (1920x1200), glossy, LED backlight, IPS, 340 nits, Intel N4020, 4G, 64G  2400MHz DDR4 soldered to systemboard, Windows 10 PRO, 2x USB 3.2 Type-C Gen 1(with the function of DisplayPort 1",24,5%,×,25279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,HP,"Notebook HP  15,6""FHD; Ryzen3; 8GB; 512GB NVMe 48M40EA 15s-eq2008nia",,"24,900 ден.",,12,5%,×,27193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,HP,"Notebook HP 250 G8 i3-1115G415.6""/4GB/256GB/2core 2W8Z4EA",,"25,123 ден.","Notebook HP 250G8 i3-1115G415.6""/4GB/256GB/2core",12,5%,√,27092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,Lenovo,"Notebook Lenovo IDEAPAD 3 15IML05, 81WE00T2RM; 15.6 FHD; Core I3-1005G1 dual; 8 GBRAM; 256GB M.2 SSD; Intel UHD Graphics; NO ODD; FREE-DOS",,"25,344 ден.",,24,5%,×,25638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,HP,"Notebook HP 255 G9, DOS, AMD Ryzen 3 5425U, 2.7 GHz, Core 4, 8 GB, 15,6"" IPS FHD ,SSD 512 GB M.2 PCIe NVMe, AMD Radeon, 802.11a/b/g/nac ,BT 5.0, Masa 1.74kg, 720p, SD, Boja Siva, TPM, HDMI, RJ45, USB Type-C, 2xUSB Type-A SS 5Gbit/s, 3y 6F294EA#ABB",,"25,375 ден.","HP 255 G9, DOS, AMD Ryzen 3 5425U, 2.7 GHz, Core 4, 8 GB, 15,6"" IPS FHD ,SSD 512 GB M.2 PCIe NVMe, AMD Radeon, 802.11a/b/g/nac ,BT 5.0, Masa 1.74kg, 720p, SD, Boja Siva, TPM, HDMI, RJ45, USB Type-C, 2xUSB Type-A SS 5Gbit/s, 3y",12,5%,√,28126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,Acer,"Notebook Acer A317-33-P0FY, Intel, DOS, Pentium Silver, N6000, 1,1 GHZ, Core 4, 8GB, 17,3"", FHD, SSD[GB] 512, Intel, UHD, 802.11a/b/g/n, Bluetooth 5.0, GbitLAN, 2,6 kg, Boja Srebrna, HDMI 1, USB 2.0 1, USB 3.2 2 NX.A6TEX.00A",,"25,510 ден.","NOT AC A317-33-P0FY, Intel, DOS, Pentium Silver, N6000, 1,1 GHZ, Core 4, 8GB, 17,3"", FHD, SSD[GB] 512, Intel, UHD, 802.11a/b/g/n, Bluetooth 5.0, GbitLAN, 2,6 kg, Boja Srebrna, HDMI 1, USB 2.0 1, USB 3.2 2",12,5%,×,26739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,Acer,"Notebook Acer A315-58-37AT, Intel, DOS, Core i3, 1115G4, 1,70 GHZ, Core 2, 8GB, 15,6″, FHD, SSD[GB] 512, 802.11ac, BT 5.0, GbitLAN, 1,70 kg, Boja Crvena",,"25,990 ден.",,,5%,×,27754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,Lenovo,"Notebook Lenovo IP 3 15IAU7 i3-1215U; 8GB ddr4;15,6""FHD; 256GB NVMe; 82RK008VRM",,"25,990 ден.",,24,5%,√,28508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
